repo	branch	sha12	contained_in_targets	unique_vs_targets
backend	feature/env-provider-v1	003b52b2b18a	NONE	0
backend	demo/work-core-self-use-2026-08-25	03903e85481b	NONE	9
backend	fix/gui-1.7.3	06a3b26339ec	NONE	1
backend	feature/capability-entry-v1	1c74d1559ca7	NONE	51
backend	feature/server-http-codex-r1	219f8b986cde	 feature/env-provider-v1 feature/env-provider-runtime	0
backend	fix/staging-datawsl	29bdd7587420	NONE	3
backend	fix/gui-1.7.2	30b786ccba97	NONE	1
backend	spike/real-governed-binding	33c44076bf8c	NONE	4
backend	refactor/remove-shims	36741af9c5e8	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	frontend/07-i18n	3d91c24d124c	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	feature/server-harness-extension-v1	577b47ad402b	NONE	501
backend	docs/9p-landmine	5d132071aeb5	NONE	1
backend	refactor/layered-arch	60b9e8b3ed8f	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	main	6c14ea8db813	NONE	0
backend	fix/gui-1.6.2	6de6457cc822	NONE	1
backend	frontend/06-hooks	71af132482f5	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	frontend/03-migrate	7e0ef697ad16	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	feat/work-core-runtime-v0.1	8726785b6d1c	NONE	11
backend	frontend/01-config	899bb2650de2	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	feat/acs-integration	8a07e768aa45	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	experiment/work-core-v0.1	986b221bc635	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	feat/2.0-project-profiles	986b221bc635	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	spike/checkpoint-workflow-contract	986b221bc635	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	spike/minimal-work-core	986b221bc635	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	spike/real-provider-compat	986b221bc635	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	frontend/02-domains	9a8dbea29934	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	feat/studio-codex-product-vertical	9ad2044221bf	NONE	1
backend	fix/gui-1.7.6	9ae3c6520f04	NONE	1
backend	refactor/fix-resources-audit	9ee6d4c088dd	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	refactor/harness-registry	9fcecd229910	NONE	6
backend	feature/env-provider-runtime	a7b7b6ff15ab	NONE	0
backend	studio-backend	a9f749f6ff8c	NONE	9
backend	fix/gui-1.6.4	b37029a4be40	NONE	1
backend	frontend/04-form	b4b6b2044cb1	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	fix/gui-1.6.3	b770214cf4d9	NONE	1
backend	fix/gui-1.6.5	bc5247232011	NONE	1
backend	refactor/remove-agent-box-crud	bd9516a57c8c	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	feature/harness-expansion-v1	c1a7ea9b8207	 feature/env-provider-v1 feature/env-provider-runtime	0
backend	frontend/05-tabs	c267c00c3922	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	refactor/agent-type-registry	c95301c7ecbb	 feature/env-provider-v1 feature/env-provider-runtime main	0
backend	fix/gui-1.7.5	d168485bfd1e	NONE	1
